PA,SZ,AG,Sex,TOD,Pop,Time
Bukit Merah,Bukit Ho Swee,80_to_84,Females,Landed Properties,0,2015
Bukit Merah,Bukit Ho Swee,80_to_84,Females,Condominiums and Other Apartments,0,2015
Bukit Merah,Bukit Ho Swee,80_to_84,Females,Others,0,2015
Bukit Merah,Bukit Ho Swee,85_to_89,Males,HDB 1- and 2-Room Flats,30,2015
Bukit Merah,Bukit Ho Swee,85_to_89,Males,HDB 3-Room Flats,50,2015
Bukit Merah,Bukit Ho Swee,85_to_89,Males,HDB 4-Room Flats,10,2015
Bukit Merah,Bukit Ho Swee,85_to_89,Males,HDB 5-Room and Executive Flats,10,2015
Bukit Merah,Bukit Ho Swee,85_to_89,Males,HUDC Flats (excluding those privatised),0,2015
Bukit Merah,Bukit Ho Swee,85_to_89,Males,Landed Properties,0,2015
Bukit Merah,Bukit Ho Swee,85_to_89,Males,Condominiums and Other Apartments,0,2015
Bukit Merah,Bukit Ho Swee,85_to_89,Males,Others,0,2015
Bukit Merah,Bukit Ho Swee,85_to_89,Females,HDB 1- and 2-Room Flats,40,2015
Bukit Merah,Bukit Ho Swee,85_to_89,Females,HDB 3-Room Flats,80,2015
Bukit Merah,Bukit Ho Swee,85_to_89,Females,HDB 4-Room Flats,30,2015
Bukit Merah,Bukit Ho Swee,85_to_89,Females,HDB 5-Room and Executive Flats,10,2015
Bukit Merah,Bukit Ho Swee,85_to_89,Females,HUDC Flats (excluding those privatised),0,2015
Bukit Merah,Bukit Ho Swee,85_to_89,Females,Landed Properties,0,2015
Bukit Merah,Bukit Ho Swee,85_to_89,Females,Condominiums and Other Apartments,0,2015
Bukit Merah,Bukit Ho Swee,85_to_89,Females,Others,0,2015
Bukit Merah,Bukit Ho Swee,90_and_over,Males,HDB 1- and 2-Room Flats,20,2015
Bukit Merah,Bukit Ho Swee,90_and_over,Males,HDB 3-Room Flats,20,2015
Bukit Merah,Bukit Ho Swee,90_and_over,Males,HDB 4-Room Flats,10,2015
Bukit Merah,Bukit Ho Swee,90_and_over,Males,HDB 5-Room and Executive Flats,0,2015
Bukit Merah,Bukit Ho Swee,90_and_over,Males,HUDC Flats (excluding those privatised),0,2015
Bukit Merah,Bukit Ho Swee,90_and_over,Males,Landed Properties,0,2015
Bukit Merah,Bukit Ho Swee,90_and_over,Males,Condominiums and Other Apartments,0,2015
Bukit Merah,Bukit Ho Swee,90_and_over,Males,Others,0,2015
Bukit Merah,Bukit Ho Swee,90_and_over,Females,HDB 1- and 2-Room Flats,30,2015
Bukit Merah,Bukit Ho Swee,90_and_over,Females,HDB 3-Room Flats,40,2015
Bukit Merah,Bukit Ho Swee,90_and_over,Females,HDB 4-Room Flats,10,2015
Bukit Merah,Bukit Ho Swee,90_and_over,Females,HDB 5-Room and Executive Flats,10,2015
Bukit Merah,Bukit Ho Swee,90_and_over,Females,HUDC Flats (excluding those privatised),0,2015
Bukit Merah,Bukit Ho Swee,90_and_over,Females,Landed Properties,0,2015
Bukit Merah,Bukit Ho Swee,90_and_over,Females,Condominiums and Other Apartments,0,2015
Bukit Merah,Bukit Ho Swee,90_and_over,Females,Others,0,2015
Downtown Core,Bayfront Subzone,65_to_69,Males,HDB 1- and 2-Room Flats,0,2015
Downtown Core,Bayfront Subzone,65_to_69,Males,HDB 3-Room Flats,0,2015
Downtown Core,Bayfront Subzone,65_to_69,Males,HDB 4-Room Flats,0,2015
Downtown Core,Bayfront Subzone,65_to_69,Males,HDB 5-Room and Executive Flats,0,2015
Downtown Core,Bayfront Subzone,65_to_69,Males,HUDC Flats (excluding those privatised),0,2015
Downtown Core,Bayfront Subzone,65_to_69,Males,Landed Properties,0,2015
Downtown Core,Bayfront Subzone,65_to_69,Males,Condominiums and Other Apartments,0,2015
Downtown Core,Bayfront Subzone,65_to_69,Males,Others,0,2015
Downtown Core,Bayfront Subzone,65_to_69,Females,HDB 1- and 2-Room Flats,0,2015
Downtown Core,Bayfront Subzone,65_to_69,Females,HDB 3-Room Flats,0,2015
Downtown Core,Bayfront Subzone,65_to_69,Females,HDB 4-Room Flats,0,2015
Downtown Core,Bayfront Subzone,65_to_69,Females,HDB 5-Room and Executive Flats,0,2015
Downtown Core,Bayfront Subzone,65_to_69,Females,HUDC Flats (excluding those privatised),0,2015
Downtown Core,Bayfront Subzone,65_to_69,Females,Landed Properties,0,2015
Downtown Core,Bayfront Subzone,65_to_69,Females,Condominiums and Other Apartments,0,2015
Downtown Core,Bayfront Subzone,65_to_69,Females,Others,0,2015
Downtown Core,Bayfront Subzone,70_to_74,Males,HDB 1- and 2-Room Flats,0,2015
Downtown Core,Bayfront Subzone,70_to_74,Males,HDB 3-Room Flats,0,2015
Downtown Core,Bayfront Subzone,70_to_74,Males,HDB 4-Room Flats,0,2015
Downtown Core,Bayfront Subzone,70_to_74,Males,HDB 5-Room and Executive Flats,0,2015
Downtown Core,Bayfront Subzone,70_to_74,Males,HUDC Flats (excluding those privatised),0,2015
Downtown Core,Bayfront Subzone,70_to_74,Males,Landed Properties,0,2015
Downtown Core,Bayfront Subzone,70_to_74,Males,Condominiums and Other Apartments,0,2015
Downtown Core,Bayfront Subzone,70_to_74,Males,Others,0,2015
Downtown Core,Bayfront Subzone,70_to_74,Females,HDB 1- and 2-Room Flats,0,2015
Downtown Core,Bayfront Subzone,70_to_74,Females,HDB 3-Room Flats,0,2015
